Date,Ticker,Action,Shares,Price,Total
2020-02-03,FX_01,SELL,37,132.83427935585556,4914.868336166655
2020-02-03,FX_06,SELL,110,89.89021796485491,9887.92397613404
2020-02-03,Idx_04,SELL,122,161.07669385347586,19651.356650124057
2020-02-03,Stock_01,BUY,36,139.09899996723445,-4734.239821344016
2020-02-03,Stock_02,BUY,40,121.90432208402623,-4383.202433196398
2020-02-03,Stock_03,BUY,43,114.27359883281812,-4416.993843885477
2020-02-03,Stock_04,BUY,16,308.4405606496298,-6555.436735681542
2020-02-03,FX_05,BUY,47,105.77334879074272,-4971.347393164908
2020-02-04,FX_06,BUY,1,89.96143215070185,-89.96143215070185
2020-02-05,FX_01,SELL,1,132.18324103692953,132.18324103692953
2020-02-05,FX_05,BUY,1,104.8514478004044,-104.8514478004044
2020-02-06,FX_01,SELL,1,132.15704379365016,132.15704379365016
2020-02-06,FX_05,BUY,1,104.40391867097225,-104.40391867097225
2020-02-06,FX_06,BUY,1,91.5530696322742,-91.5530696322742
2020-02-07,FX_06,SELL,3,91.34215289927286,274.0264586978186
2020-02-07,FX_05,BUY,1,104.60759422818457,-104.60759422818457
2020-02-10,FX_01,BUY,1,133.19681921804514,-133.19681921804514
2020-02-10,FX_05,BUY,1,104.71840184844648,-104.71840184844648
2020-02-10,FX_06,BUY,2,90.6985757402096,-181.3971514804192
2020-02-12,FX_01,SELL,1,132.7707063267329,132.7707063267329
2020-02-12,FX_06,SELL,1,91.15397917065695,91.15397917065695
2020-02-13,FX_01,SELL,1,132.89385441210828,132.89385441210828
2020-02-13,FX_05,BUY,2,103.78023109169878,-207.56046218339756
2020-02-13,FX_06,BUY,1,91.07199586489496,-91.07199586489496
2020-02-14,FX_01,BUY,1,133.3354068433854,-133.3354068433854
2020-02-18,FX_05,BUY,1,103.96063554193572,-103.96063554193572
2020-02-18,FX_06,BUY,5,90.6011643618691,-453.0058218093455
2020-02-19,FX_05,SELL,1,104.52536594305327,104.52536594305327
2020-02-19,FX_06,BUY,1,89.81277027709743,-89.81277027709743
2020-02-20,FX_06,SELL,1,90.89299300467358,90.89299300467358
2020-02-26,FX_05,SELL,5,104.72417727228,523.6208863614
2020-02-26,FX_01,BUY,4,134.0280819455556,-536.1123277822225
2020-02-26,FX_06,BUY,4,90.66300253905604,-362.65201015622415
2020-02-27,FX_06,SELL,1,90.60315096648904,90.60315096648904
2020-02-28,FX_05,SELL,3,105.2014527232789,315.6043581698367
2020-02-28,FX_01,BUY,1,133.2281191372243,-133.2281191372243
2020-02-28,FX_06,BUY,2,90.6896784118621,-181.3793568237242
2020-03-02,FX_05,SELL,2,105.24971236664572,210.49942473329145
2020-03-02,FX_01,BUY,1,132.636945201535,-132.636945201535
2020-03-02,FX_06,BUY,3,89.4632336559559,-268.3897009678677
2020-03-03,FX_01,SELL,2,131.51029277457806,263.0205855491561
2020-03-03,FX_06,SELL,1,90.89153872846266,90.89153872846266
2020-03-04,FX_05,SELL,1,104.63904968006696,104.63904968006696
2020-03-04,FX_01,BUY,1,130.34158272512747,-130.34158272512747
2020-03-04,FX_06,BUY,4,90.48080399707854,-361.92321598831415
2020-03-05,FX_01,SELL,2,130.58222386846353,261.16444773692706
2020-03-05,FX_06,SELL,1,90.85407205135412,90.85407205135412
2020-03-06,FX_05,SELL,2,104.9347065583382,209.8694131166764
2020-03-06,FX_01,BUY,1,130.20712458492264,-130.20712458492264
2020-03-09,FX_05,SELL,2,105.77872797690112,211.55745595380225
2020-03-09,FX_01,BUY,2,129.3849625061819,-258.7699250123638
2020-03-09,FX_06,BUY,3,88.5107597905384,-265.53227937161523
2020-03-10,FX_05,SELL,5,106.80223211999233,534.0111605999616
2020-03-10,FX_01,BUY,3,130.50002870255193,-391.50008610765576
2020-03-10,FX_06,BUY,5,87.0570815421652,-435.28540771082595
2020-03-11,FX_01,SELL,1,131.17299011612994,131.17299011612994
2020-03-11,FX_06,SELL,3,88.21814337693024,264.65443013079073
2020-03-11,FX_05,BUY,1,106.58580029134156,-106.58580029134156
2020-03-12,FX_01,BUY,2,131.40976479886152,-262.81952959772303
2020-03-12,FX_05,BUY,1,106.25932871728084,-106.25932871728084
2020-03-12,FX_06,BUY,2,87.66009044532812,-175.32018089065625
2020-03-13,FX_05,SELL,5,107.83520709882012,539.1760354941006
2020-03-13,FX_01,BUY,5,134.27174787099725,-671.3587393549863
2020-03-13,FX_06,BUY,2,85.84086096332261,-171.68172192664522
2020-03-16,FX_01,SELL,2,133.62348446087236,267.2469689217447
2020-03-16,FX_06,BUY,2,87.97075074137432,-175.94150148274863
2020-03-17,FX_05,SELL,3,108.10568412521124,324.3170523756337
2020-03-17,FX_01,BUY,1,134.87051006440353,-134.87051006440353
2020-03-17,FX_06,BUY,4,86.73827576853401,-346.95310307413604
2020-03-18,FX_01,SELL,1,136.17270506329456,136.17270506329456
2020-03-18,FX_06,SELL,2,86.88137777760186,173.7627555552037
2020-03-18,FX_05,BUY,1,107.7054564131076,-107.7054564131076
2020-03-19,FX_05,SELL,3,110.6802328871016,332.04069866130476
2020-03-19,FX_06,SELL,1,84.90218553562066,84.90218553562066
2020-03-19,FX_01,BUY,3,140.6227644969751,-421.8682934909253
2020-03-23,FX_06,SELL,3,84.54791137005539,253.64373411016618
2020-03-24,FX_05,SELL,1,109.5856922736229,109.5856922736229
2020-03-24,FX_01,BUY,2,141.77933596432388,-283.55867192864775
2020-03-24,FX_06,BUY,3,86.12676908343536,-258.3803072503061
2020-03-25,FX_01,SELL,3,139.26733333302647,417.8019999990794
2020-03-25,FX_06,SELL,1,87.9120659451035,87.9120659451035
2020-03-25,FX_05,BUY,2,108.02433336408102,-216.04866672816203
2020-03-26,FX_01,SELL,1,138.75655284521198,138.75655284521198
2020-03-26,FX_06,SELL,6,88.04192875258671,528.2515725155203
2020-03-26,FX_05,BUY,3,108.49426960608672,-325.48280881826014
2020-03-27,FX_01,SELL,1,137.068921698715,137.068921698715
2020-03-27,FX_05,BUY,1,108.73651543819744,-108.73651543819744
2020-03-27,FX_06,BUY,3,87.7055520172563,-263.11665605176887
2020-03-30,FX_01,SELL,1,136.78719612364966,136.78719612364966
2020-03-30,FX_05,SELL,2,109.40507555860616,218.8101511172123
2020-03-30,FX_06,SELL,1,86.5200794732901,86.5200794732901
2020-03-31,FX_05,SELL,1,109.51304828140992,109.51304828140992
2020-03-31,FX_06,SELL,2,86.0875988468348,172.1751976936696
2020-03-31,FX_01,BUY,1,138.270457209624,-138.270457209624
2020-04-01,Stock_01,SELL,36,74.44127348385923,2480.2121313639495
2020-04-01,Stock_03,SELL,43,66.3174222594394,2475.1306092357067
2020-04-01,Stock_04,SELL,16,196.7855182617802,4296.921180312999
2020-04-01,FX_05,SELL,27,108.05067080875764,2917.3681118364566
2020-04-01,FX_06,SELL,9,86.79646312817422,781.168168153568
2020-04-01,Stock_12,BUY,18,223.5262123606132,-3492.231236880913
2020-04-01,Stock_13,BUY,29,142.7953071341578,-4141.063906890577
2020-04-01,Stock_14,BUY,17,239.93727028253556,-4078.933594803105
2020-04-01,FX_01,BUY,26,136.47222424787643,-3548.277830444787
2020-04-01,Idx_04,BUY,28,124.3710620861716,-3482.389738412805
2020-04-02,FX_06,BUY,5,85.46696748684363,-427.3348374342181
2020-04-06,FX_06,BUY,2,85.33934319291853,-170.67868638583707
2020-04-07,FX_06,SELL,6,86.27583297422836,517.6549978453702
2020-04-08,FX_06,SELL,1,86.47944828636999,86.47944828636999
2020-04-08,Stock_01,BUY,708,77.563373013821,-50709.347475251365
2020-04-09,Stock_01,SELL,96,81.7357717119569,7243.194107639027
2020-04-09,FX_06,SELL,1,86.4145044181164,86.4145044181164
2020-04-09,Stock_10,BUY,420,128.34226413712187,-49758.320188477526
2020-04-14,Stock_01,SELL,44,80.02364710469713,3259.530708890761
2020-04-14,Stock_10,SELL,1,131.1296244444973,121.39054948315489
2020-04-14,FX_01,SELL,607,137.73099389671304,83602.71329530481
2020-04-14,Stock_06,BUY,400,107.67744336315972,-59322.08517866007
2020-04-15,Stock_01,SELL,36,74.29740784065815,2477.7117879892476
2020-04-15,Stock_06,SELL,3,102.56155206092576,421.08832234677334
2020-04-15,Stock_10,SELL,35,123.40886370631164,4001.1885950442133
2020-04-15,Stock_14,BUY,167,262.3322923083938,-43809.49281550176
2020-04-20,Stock_06,SELL,5,100.49083278526024,691.91313222869
